,COREF,start_token,end_token,prop,cat,text,character_name
6113,82,37535,37535,PRON,PER,her,the eldest Miss Bennet
6116,87,37543,37543,PROP,PER,Mary,Mary King
6118,87,37558,37558,PROP,PER,Mary,Mary King
6119,87,37561,37561,PRON,PER,her,Mary King
6124,87,37594,37594,PROP,PER,Mary,Mary King
6125,82,37607,37607,PROP,PER,Elizabeth,the eldest Miss Bennet
6126,87,37611,37611,PRON,PER,her,Mary King
6127,82,37616,37616,PRON,PER,her,the eldest Miss Bennet
6129,82,37623,37623,PRON,PER,her,the eldest Miss Bennet
6131,129,37641,37641,PRON,PER,I,Mr. Collins
6132,129,37645,37646,PROP,PER,Mr. Collins,Mr. Collins
6133,129,37659,37659,PRON,PER,I,Mr. Collins
6134,129,37665,37665,PRON,PER,I,Mr. Collins
6136,129,37678,37678,PRON,PER,I,Mr. Collins
6138,129,37697,37697,PRON,PER,I,Mr. Collins
6152,129,37813,37813,PRON,PER,I,Mr. Collins
6157,129,37842,37842,PRON,PER,I,Mr. Collins
6159,129,37853,37853,PRON,PER,I,Mr. Collins
6163,89,37881,37882,PROP,PER,Mr. Darcy,that disagreeable Mr. Darcy
6164,89,37884,37884,PRON,PER,he,that disagreeable Mr. Darcy
6165,89,37886,37886,PRON,PER,his,that disagreeable Mr. Darcy
6170,75,37917,37918,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
6171,75,37919,37919,PRON,PER,himself,CHAPTER L. Mr. Bennet
6172,75,37922,37922,PRON,PER,his,CHAPTER L. Mr. Bennet
6174,129,37926,37927,PROP,PER,Mr. Collins,Mr. Collins
6175,10,37943,37944,PROP,PER,Lady Lucas,Lucas Lodge
6176,89,37947,37947,PRON,PER,he,that disagreeable Mr. Darcy
6178,82,37960,37960,PROP,PER,Elizabeth,the eldest Miss Bennet
6179,82,37966,37966,PRON,PER,her,the eldest Miss Bennet
6185,82,38005,38005,PRON,PER,she,the eldest Miss Bennet
6186,79,38009,38009,PROP,PER,Bingley,"you,--Mr . Bingley"
6187,82,38011,38011,PRON,PER,her,the eldest Miss Bennet
6189,75,38020,38020,PRON,PER,his,CHAPTER L. Mr. Bennet
6190,75,38025,38025,PRON,PER,his,CHAPTER L. Mr. Bennet
6191,75,38040,38040,PRON,PER,he,CHAPTER L. Mr. Bennet
6192,75,38046,38046,PRON,PER,his,CHAPTER L. Mr. Bennet
6194,89,38050,38051,PROP,PER,Mr. Darcy,that disagreeable Mr. Darcy
6195,82,38062,38062,PRON,PER,her,the eldest Miss Bennet
6196,82,38069,38069,PRON,PER,she,the eldest Miss Bennet
6199,82,38099,38099,PRON,PER,her,the eldest Miss Bennet
6200,82,38103,38103,PRON,PER,She,the eldest Miss Bennet
6201,129,38107,38108,PROP,PER,Mr. Collins,Mr. Collins
6202,82,38115,38115,PRON,PER,her,the eldest Miss Bennet
6203,129,38120,38120,PRON,PER,he,Mr. Collins
