,COREF,start_token,end_token,prop,cat,text,character_name
4083,54,31779,31779,PRON,PER,my,Bob Cratchit
4085,54,31784,31784,PROP,PER,Bob,Bob Cratchit
4086,57,31788,31788,PRON,PER,you,Master Peter Cratchit
4088,54,31795,31795,PRON,PER,I,Bob Cratchit
4089,54,31805,31805,PRON,PER,I,Bob Cratchit
4091,57,31809,31809,PROP,PER,Peter,Master Peter Cratchit
4092,57,31820,31820,PROP,PER,Peter,Master Peter Cratchit
4093,55,31824,31825,PROP,PER,Mrs. Cratchit,Mrs. Cratchit
4096,57,31839,31839,PROP,PER,Peter,Master Peter Cratchit
4098,57,31852,31852,PRON,PER,himself,Master Peter Cratchit
4099,54,31859,31859,PRON,PER,you,Bob Cratchit
4100,57,31863,31863,PROP,PER,Peter,Master Peter Cratchit
4101,54,31878,31878,PROP,PER,Bob,Bob Cratchit
4102,54,31895,31895,PRON,PER,my,Bob Cratchit
4106,54,31909,31909,PRON,PER,I,Bob Cratchit
4110,58,31918,31920,PROP,PER,poor Tiny Tim,poor Tiny Tim
4115,54,31948,31948,PRON,PER,I,Bob Cratchit
4116,54,31953,31953,PROP,PER,Bob,Bob Cratchit
4117,54,31956,31956,PRON,PER,I,Bob Cratchit
4118,54,31959,31959,PRON,PER,my,Bob Cratchit
4121,58,31971,31971,PRON,PER,he,poor Tiny Tim
4122,58,31975,31975,PRON,PER,he,poor Tiny Tim
4126,58,31994,31995,PROP,PER,Tiny Tim,poor Tiny Tim
4129,54,32015,32015,PRON,PER,I,Bob Cratchit
4130,54,32022,32023,PROP,PER,little Bob,Bob Cratchit
4131,54,32026,32026,PRON,PER,I,Bob Cratchit
4132,55,32032,32033,PROP,PER,Mrs. Cratchit,Mrs. Cratchit
4133,54,32035,32035,PRON,PER,him,Bob Cratchit
4134,54,32037,32037,PRON,PER,his,Bob Cratchit
4136,54,32040,32040,PRON,PER,him,Bob Cratchit
4138,54,32047,32047,PRON,PER,him,Bob Cratchit
4139,57,32050,32050,PROP,PER,Peter,Master Peter Cratchit
4140,57,32052,32052,PRON,PER,himself,Master Peter Cratchit
4141,58,32058,32059,PROP,PER,Tiny Tim,poor Tiny Tim
4145,20,32073,32073,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4146,20,32078,32078,PRON,PER,me,Mr. Ebenezer Scrooge
4148,20,32087,32087,PRON,PER,I,Mr. Ebenezer Scrooge
4149,20,32091,32091,PRON,PER,I,Mr. Ebenezer Scrooge
4150,20,32097,32097,PRON,PER,me,Mr. Ebenezer Scrooge
4152,54,32117,32117,PRON,PER,him,Bob Cratchit
4153,54,32128,32128,PRON,PER,he,Bob Cratchit
4155,54,32158,32158,PRON,PER,him,Bob Cratchit
4156,54,32160,32160,PRON,PER,himself,Bob Cratchit
4157,34,32164,32165,PROP,PER,the Spirit,Good Spirit
4158,20,32188,32188,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4160,20,32201,32201,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
