,COREF,start_token,end_token,prop,cat,text,character_name
1352,112,8751,8751,PRON,PER,You,Lord Henry Wotton
1353,112,8755,8755,PRON,PER,you,Lord Henry Wotton
1354,112,8757,8757,PRON,PER,you,Lord Henry Wotton
1355,112,8762,8762,PRON,PER,you,Lord Henry Wotton
1356,112,8766,8766,PRON,PER,you,Lord Henry Wotton
1357,115,8772,8773,PROP,PER,Dorian Gray,Mr. Dorian Gray
1358,115,8777,8777,PRON,PER,his,Mr. Dorian Gray
1359,115,8781,8781,PRON,PER,He,Mr. Dorian Gray
1361,115,8796,8796,PRON,PER,him,Mr. Dorian Gray
1363,115,8809,8809,PRON,PER,him,Mr. Dorian Gray
1369,115,8860,8860,PRON,PER,he,Mr. Dorian Gray
1374,115,8886,8886,PRON,PER,He,Mr. Dorian Gray
1375,113,8889,8890,PROP,PER,Basil Hallward,Basil Hallward
1377,115,8902,8902,PRON,PER,him,Mr. Dorian Gray
1378,115,8911,8911,PRON,PER,his,Mr. Dorian Gray
1379,115,8919,8919,PRON,PER,him,Mr. Dorian Gray
1380,115,8936,8936,PRON,PER,He,Mr. Dorian Gray
1384,112,8964,8965,PROP,PER,Lord Henry,Lord Henry Wotton
1386,115,8977,8977,PRON,PER,you,Mr. Dorian Gray
1387,115,8985,8985,PRON,PER,you,Mr. Dorian Gray
1388,113,8992,8992,PROP,PER,Basil,Basil Hallward
1389,115,8996,8996,PRON,PER,you,Mr. Dorian Gray
1390,115,8999,8999,PRON,PER,You,Mr. Dorian Gray
1391,115,9004,9004,PRON,PER,yourself,Mr. Dorian Gray
1392,115,9023,9024,PROP,PER,Dorian Gray,Mr. Dorian Gray
1393,115,9029,9029,PRON,PER,he,Mr. Dorian Gray
1395,115,9048,9048,PRON,PER,you,Mr. Dorian Gray
1396,115,9050,9051,PROP,PER,Mr. Gray,Mr. Dorian Gray
1397,115,9060,9060,PRON,PER,you,Mr. Dorian Gray
1398,112,9078,9078,PRON,PER,I,Lord Henry Wotton
1399,112,9084,9085,PROP,PER,Lord Henry,Lord Henry Wotton
1400,115,9091,9091,PRON,PER,you,Mr. Dorian Gray
1401,115,9102,9102,PRON,PER,you,Mr. Dorian Gray
1402,115,9114,9114,PRON,PER,your,Mr. Dorian Gray
1403,115,9123,9123,PRON,PER,your,Mr. Dorian Gray
1404,115,9130,9130,PRON,PER,you,Mr. Dorian Gray
1405,115,9135,9135,PRON,PER,you,Mr. Dorian Gray
1406,115,9144,9144,PRON,PER,you,Mr. Dorian Gray
1407,115,9147,9147,PRON,PER,you,Mr. Dorian Gray
1409,115,9159,9159,PRON,PER,You,Mr. Dorian Gray
1410,115,9166,9167,PROP,PER,Mr. Gray,Mr. Dorian Gray
1411,115,9173,9173,PRON,PER,You,Mr. Dorian Gray
1415,115,9254,9254,PRON,PER,You,Mr. Dorian Gray
1416,115,9260,9260,PRON,PER,you,Mr. Dorian Gray
1417,115,9264,9264,PRON,PER,you,Mr. Dorian Gray
1419,112,9296,9296,PRON,PER,me,Lord Henry Wotton
1422,115,9333,9334,PROP,PER,Mr. Gray,Mr. Dorian Gray
1424,115,9342,9342,PRON,PER,you,Mr. Dorian Gray
1427,115,9354,9354,PRON,PER,You,Mr. Dorian Gray
1428,115,9372,9372,PRON,PER,your,Mr. Dorian Gray
1429,115,9376,9376,PRON,PER,your,Mr. Dorian Gray
1430,115,9385,9385,PRON,PER,you,Mr. Dorian Gray
1431,115,9396,9396,PRON,PER,you,Mr. Dorian Gray
1432,115,9402,9402,PRON,PER,yourself,Mr. Dorian Gray
1433,115,9411,9411,PRON,PER,your,Mr. Dorian Gray
1434,115,9426,9426,PRON,PER,you,Mr. Dorian Gray
1435,115,9436,9436,PRON,PER,you,Mr. Dorian Gray
1436,115,9441,9441,PRON,PER,your,Mr. Dorian Gray
1437,115,9444,9444,PRON,PER,your,Mr. Dorian Gray
1438,115,9447,9447,PRON,PER,You,Mr. Dorian Gray
1439,115,9462,9462,PRON,PER,You,Mr. Dorian Gray
1440,115,9470,9470,PRON,PER,your,Mr. Dorian Gray
1441,115,9473,9473,PRON,PER,you,Mr. Dorian Gray
1442,115,9483,9483,PRON,PER,your,Mr. Dorian Gray
1443,115,9501,9501,PRON,PER,your,Mr. Dorian Gray
1447,115,9537,9537,PRON,PER,you,Mr. Dorian Gray
1448,115,9544,9544,PRON,PER,you,Mr. Dorian Gray
1450,115,9569,9569,PRON,PER,You,Mr. Dorian Gray
1451,115,9577,9577,PRON,PER,your,Mr. Dorian Gray
1452,115,9582,9582,PRON,PER,you,Mr. Dorian Gray
1454,115,9591,9591,PRON,PER,you,Mr. Dorian Gray
1455,112,9598,9598,PRON,PER,I,Lord Henry Wotton
1456,115,9600,9600,PRON,PER,you,Mr. Dorian Gray
1457,112,9601,9601,PRON,PER,I,Lord Henry Wotton
1458,115,9604,9604,PRON,PER,you,Mr. Dorian Gray
1459,115,9610,9610,PRON,PER,you,Mr. Dorian Gray
1460,115,9616,9616,PRON,PER,you,Mr. Dorian Gray
1461,115,9626,9626,PRON,PER,you,Mr. Dorian Gray
1462,112,9629,9629,PRON,PER,me,Lord Henry Wotton
1463,112,9631,9631,PRON,PER,I,Lord Henry Wotton
1464,112,9633,9633,PRON,PER,I,Lord Henry Wotton
1465,115,9636,9636,PRON,PER,you,Mr. Dorian Gray
1466,115,9639,9639,PRON,PER,yourself,Mr. Dorian Gray
1467,112,9641,9641,PRON,PER,I,Lord Henry Wotton
1468,115,9649,9649,PRON,PER,you,Mr. Dorian Gray
1469,115,9661,9661,PRON,PER,your,Mr. Dorian Gray
1480,115,9803,9804,PROP,PER,Dorian Gray,Mr. Dorian Gray
1481,115,9819,9819,PRON,PER,his,Mr. Dorian Gray
1482,115,9853,9853,PRON,PER,He,Mr. Dorian Gray
1489,115,9922,9922,PRON,PER,He,Mr. Dorian Gray
1503,112,10045,10045,PRON,PER,You,Lord Henry Wotton
1504,112,10048,10048,PRON,PER,you,Lord Henry Wotton
1505,112,10051,10051,PRON,PER,me,Lord Henry Wotton
1506,115,10053,10054,PROP,PER,Mr. Gray,Mr. Dorian Gray
1507,112,10058,10059,PROP,PER,Lord Henry,Lord Henry Wotton
1508,115,10063,10063,PRON,PER,him,Mr. Dorian Gray
1509,112,10068,10068,PRON,PER,I,Lord Henry Wotton
1510,112,10073,10073,PRON,PER,I,Lord Henry Wotton
1511,112,10076,10076,PRON,PER,I,Lord Henry Wotton
1512,115,10093,10093,PRON,PER,me,Mr. Dorian Gray
1513,115,10096,10096,PRON,PER,I,Mr. Dorian Gray
1518,115,10155,10156,PROP,PER,Dorian Gray,Mr. Dorian Gray
1519,115,10158,10158,PRON,PER,his,Mr. Dorian Gray
1520,112,10161,10162,PROP,PER,Lord Henry,Lord Henry Wotton
1522,115,10179,10179,PRON,PER,he,Mr. Dorian Gray
1523,115,10184,10184,PRON,PER,his,Mr. Dorian Gray
1524,115,10196,10196,PRON,PER,his,Mr. Dorian Gray
1525,112,10199,10200,PROP,PER,Lord Henry,Lord Henry Wotton
1526,112,10202,10202,PRON,PER,himself,Lord Henry Wotton
1527,115,10212,10212,PRON,PER,him,Mr. Dorian Gray
1528,113,10240,10240,PROP,PER,Hallward,Basil Hallward
1529,113,10246,10246,PRON,PER,his,Basil Hallward
1530,113,10288,10288,PROP,PER,Hallward,Basil Hallward
1531,115,10298,10299,PROP,PER,Dorian Gray,Mr. Dorian Gray
1532,113,10317,10317,PRON,PER,his,Basil Hallward
1533,113,10330,10330,PRON,PER,he,Basil Hallward
1534,113,10338,10338,PRON,PER,he,Basil Hallward
1535,113,10340,10340,PRON,PER,his,Basil Hallward
1536,112,10356,10357,PROP,PER,Lord Henry,Lord Henry Wotton
1537,112,10382,10382,PRON,PER,My,Lord Henry Wotton
1539,112,10386,10386,PRON,PER,I,Lord Henry Wotton
1541,112,10393,10393,PRON,PER,he,Lord Henry Wotton
1542,115,10406,10407,PROP,PER,Mr. Gray,Mr. Dorian Gray
1545,112,10435,10435,PRON,PER,he,Lord Henry Wotton
1551,112,10477,10477,PRON,PER,me,Lord Henry Wotton
1552,112,10482,10483,PROP,PER,Lord Henry,Lord Henry Wotton
1553,115,10490,10491,PROP,PER,Mr. Gray,Mr. Dorian Gray
1554,115,10494,10494,PROP,PER,Dorian,Mr. Dorian Gray
1555,115,10505,10505,PRON,PER,his,Mr. Dorian Gray
1556,115,10513,10513,PRON,PER,he,Mr. Dorian Gray
1557,115,10516,10516,PRON,PER,he,Mr. Dorian Gray
1558,115,10521,10521,PRON,PER,his,Mr. Dorian Gray
1559,115,10536,10536,PRON,PER,his,Mr. Dorian Gray
1560,115,10541,10541,PRON,PER,he,Mr. Dorian Gray
1561,115,10544,10544,PRON,PER,himself,Mr. Dorian Gray
1562,115,10550,10550,PRON,PER,He,Mr. Dorian Gray
1563,113,10561,10561,PROP,PER,Hallward,Basil Hallward
1564,115,10565,10565,PRON,PER,him,Mr. Dorian Gray
1565,113,10573,10573,PRON,PER,his,Basil Hallward
1566,115,10579,10579,PRON,PER,his,Mr. Dorian Gray
1567,115,10584,10584,PRON,PER,him,Mr. Dorian Gray
1568,115,10589,10589,PRON,PER,He,Mr. Dorian Gray
1569,113,10596,10597,PROP,PER,Basil Hallward,Basil Hallward
1570,115,10603,10603,PRON,PER,him,Mr. Dorian Gray
1571,115,10613,10613,PRON,PER,He,Mr. Dorian Gray
1576,115,10630,10630,PRON,PER,his,Mr. Dorian Gray
1577,112,10636,10638,PROP,PER,Lord Henry Wotton,Lord Henry Wotton
1578,112,10640,10640,PRON,PER,his,Lord Henry Wotton
1579,112,10646,10646,PRON,PER,his,Lord Henry Wotton
1580,115,10656,10656,PRON,PER,him,Mr. Dorian Gray
1581,115,10665,10665,PRON,PER,he,Mr. Dorian Gray
1582,115,10672,10672,PRON,PER,his,Mr. Dorian Gray
1583,115,10684,10684,PRON,PER,him,Mr. Dorian Gray
1584,115,10694,10694,PRON,PER,his,Mr. Dorian Gray
1585,115,10702,10702,PRON,PER,his,Mr. Dorian Gray
1586,115,10711,10711,PRON,PER,his,Mr. Dorian Gray
1587,115,10723,10723,PRON,PER,his,Mr. Dorian Gray
1588,115,10730,10730,PRON,PER,his,Mr. Dorian Gray
1589,115,10739,10739,PRON,PER,his,Mr. Dorian Gray
1590,115,10743,10743,PRON,PER,his,Mr. Dorian Gray
1591,115,10746,10746,PRON,PER,He,Mr. Dorian Gray
1592,115,10757,10757,PRON,PER,he,Mr. Dorian Gray
1593,115,10769,10769,PRON,PER,him,Mr. Dorian Gray
1594,115,10779,10779,PRON,PER,his,Mr. Dorian Gray
1595,115,10783,10783,PRON,PER,His,Mr. Dorian Gray
1596,115,10798,10798,PRON,PER,He,Mr. Dorian Gray
1597,115,10810,10810,PRON,PER,his,Mr. Dorian Gray
1599,113,10822,10822,PROP,PER,Hallward,Basil Hallward
1601,115,10844,10844,PRON,PER,he,Mr. Dorian Gray
1602,112,10850,10851,PROP,PER,Lord Henry,Lord Henry Wotton
1603,112,10871,10871,PRON,PER,I,Lord Henry Wotton
1606,112,10883,10883,PRON,PER,I,Lord Henry Wotton
1607,113,10893,10893,PRON,PER,my,Basil Hallward
1608,112,10896,10896,PROP,PER,Harry,Lord Henry Wotton
1609,115,10907,10907,PROP,PER,Dorian,Mr. Dorian Gray
1611,115,10919,10919,PRON,PER,He,Mr. Dorian Gray
1613,115,10935,10936,PROP,PER,Dorian Gray,Mr. Dorian Gray
1614,115,10938,10938,PRON,PER,his,Mr. Dorian Gray
1615,115,10943,10943,PRON,PER,his,Mr. Dorian Gray
1616,115,10953,10953,PRON,PER,I,Mr. Dorian Gray
1618,115,10995,10995,PRON,PER,I,Mr. Dorian Gray
1620,115,11018,11018,PRON,PER,I,Mr. Dorian Gray
1622,115,11032,11032,PRON,PER,I,Mr. Dorian Gray
1623,115,11037,11037,PRON,PER,I,Mr. Dorian Gray
1624,115,11040,11040,PRON,PER,my,Mr. Dorian Gray
1625,113,11047,11047,PRON,PER,You,Basil Hallward
1626,113,11056,11056,PROP,PER,Basil,Basil Hallward
1627,112,11060,11061,PROP,PER,Lord Henry,Lord Henry Wotton
1628,113,11073,11073,PRON,PER,your,Basil Hallward
1629,113,11078,11078,PRON,PER,I,Basil Hallward
1630,112,11084,11084,PROP,PER,Harry,Lord Henry Wotton
1631,113,11088,11088,PROP,PER,Hallward,Basil Hallward
1632,115,11090,11091,PROP,PER,Dorian Gray,Mr. Dorian Gray
1633,113,11096,11096,PRON,PER,him,Basil Hallward
1634,115,11099,11099,PRON,PER,I,Mr. Dorian Gray
1635,113,11101,11101,PRON,PER,you,Basil Hallward
1636,113,11104,11104,PROP,PER,Basil,Basil Hallward
1637,113,11106,11106,PRON,PER,You,Basil Hallward
1638,113,11108,11108,PRON,PER,your,Basil Hallward
1639,113,11112,11112,PRON,PER,your,Basil Hallward
1641,115,11115,11115,PRON,PER,I,Mr. Dorian Gray
1642,113,11120,11120,PRON,PER,you,Basil Hallward
